Species,Life Stage,Color,Size,Orientation,Background,Lighting,Resolution,Grouping,Habitat,Image Filename
Tiger Prawn,Larvae,Brown,Medium (4-6 inches),Lateral,Aquarium,Artificial Light,1280x720 px,Individual,Freshwater,/mnt/data/augmented_images/8_rotated_90.jpg
Tiger Prawn,Larvae,Brown,Small (1-3 inches),Frontal,Natural Habitat,Natural Light,1280x720 px,Large Group (6+),Brackish Water,/mnt/data/augmented_images/7_rotated_180.jpg
Tiger Prawn,Juvenile,Pink,Small (1-3 inches),Top-down,Plain Backdrop,Artificial Light,1920x1080 px,Large Group (6+),Saltwater,/mnt/data/augmented_images/5_original.jpg
Ghost Shrimp,Juvenile,Blue,Small (1-3 inches),Top-down,Plain Backdrop,Artificial Light,640x480 px,Large Group (6+),Saltwater,/mnt/data/augmented_images/0_rotated_270.jpg
Ghost Shrimp,Juvenile,White,Small (1-3 inches),Frontal,Natural Habitat,Artificial Light,1920x1080 px,Individual,Freshwater,/mnt/data/augmented_images/8_brightness_130.jpg
Tiger Prawn,Adult,Brown,Small (1-3 inches),Lateral,Natural Habitat,Artificial Light,640x480 px,Large Group (6+),Freshwater,/mnt/data/augmented_images/4_flip_horizontal.jpg
Tiger Prawn,Juvenile,Pink,Small (1-3 inches),Top-down,Plain Backdrop,Artificial Light,1280x720 px,Individual,Brackish Water,/mnt/data/augmented_images/6_brightness_130.jpg
Ghost Shrimp,Juvenile,Brown,Large (7+ inches),Top-down,Plain Backdrop,Artificial Light,1920x1080 px,Individual,Brackish Water,/mnt/data/augmented_images/3_contrast_130.jpg
Tiger Prawn,Juvenile,Brown,Small (1-3 inches),Frontal,Plain Backdrop,Artificial Light,1280x720 px,Small Group (2-5),Saltwater,/mnt/data/augmented_images/3_rotated_90.jpg
Ghost Shrimp,Adult,Brown,Medium (4-6 inches),Lateral,Aquarium,Natural Light,1280x720 px,Small Group (2-5),Freshwater,/mnt/data/augmented_images/7_rotated_270.jpg
Tiger Prawn,Adult,White,Large (7+ inches),Frontal,Aquarium,Artificial Light,640x480 px,Large Group (6+),Freshwater,/mnt/data/augmented_images/9_rotated_180.jpg
Pacific White Shrimp,Larvae,Pink,Large (7+ inches),Lateral,Plain Backdrop,Artificial Light,1920x1080 px,Individual,Freshwater,/mnt/data/augmented_images/6_rotated_270.jpg
Ghost Shrimp,Larvae,Pink,Large (7+ inches),Lateral,Plain Backdrop,Natural Light,640x480 px,Large Group (6+),Brackish Water,/mnt/data/augmented_images/9_contrast_130.jpg
Pacific White Shrimp,Larvae,Blue,Small (1-3 inches),Lateral,Plain Backdrop,Natural Light,640x480 px,Individual,Brackish Water,/mnt/data/augmented_images/7_contrast_130.jpg
Tiger Prawn,Larvae,White,Large (7+ inches),Frontal,Natural Habitat,Natural Light,640x480 px,Small Group (2-5),Freshwater,/mnt/data/augmented_images/2_brightness_70.jpg
Tiger Prawn,Larvae,Blue,Large (7+ inches),Lateral,Natural Habitat,Artificial Light,1280x720 px,Large Group (6+),Brackish Water,/mnt/data/augmented_images/1_contrast_130.jpg
Ghost Shrimp,Juvenile,Pink,Medium (4-6 inches),Lateral,Aquarium,Artificial Light,640x480 px,Individual,Freshwater,/mnt/data/augmented_images/2_brightness_70.jpg
Pacific White Shrimp,Larvae,White,Small (1-3 inches),Lateral,Aquarium,Natural Light,1920x1080 px,Small Group (2-5),Saltwater,/mnt/data/augmented_images/7_rotated_90.jpg
Tiger Prawn,Adult,Blue,Medium (4-6 inches),Lateral,Plain Backdrop,Artificial Light,1920x1080 px,Individual,Saltwater,/mnt/data/augmented_images/0_flip_horizontal.jpg
Pacific White Shrimp,Larvae,Brown,Medium (4-6 inches),Frontal,Natural Habitat,Natural Light,1920x1080 px,Individual,Freshwater,/mnt/data/augmented_images/7_brightness_130.jpg
Pacific White Shrimp,Adult,White,Large (7+ inches),Lateral,Plain Backdrop,Artificial Light,1920x1080 px,Large Group (6+),Saltwater,/mnt/data/augmented_images/6_flip_vertical.jpg
Ghost Shrimp,Adult,Brown,Large (7+ inches),Top-down,Aquarium,Artificial Light,1920x1080 px,Small Group (2-5),Brackish Water,/mnt/data/augmented_images/8_flip_vertical.jpg
Tiger Prawn,Larvae,Brown,Large (7+ inches),Frontal,Natural Habitat,Natural Light,1280x720 px,Large Group (6+),Freshwater,/mnt/data/augmented_images/4_original.jpg
Pacific White Shrimp,Larvae,Blue,Large (7+ inches),Lateral,Plain Backdrop,Natural Light,640x480 px,Small Group (2-5),Freshwater,/mnt/data/augmented_images/5_rotated_90.jpg
Ghost Shrimp,Larvae,Blue,Medium (4-6 inches),Lateral,Aquarium,Artificial Light,640x480 px,Individual,Saltwater,/mnt/data/augmented_images/6_flip_vertical.jpg
Pacific White Shrimp,Adult,Brown,Small (1-3 inches),Top-down,Natural Habitat,Artificial Light,1920x1080 px,Small Group (2-5),Brackish Water,/mnt/data/augmented_images/1_rotated_180.jpg
Pacific White Shrimp,Adult,Brown,Large (7+ inches),Lateral,Aquarium,Artificial Light,1280x720 px,Individual,Saltwater,/mnt/data/augmented_images/1_contrast_130.jpg
Tiger Prawn,Larvae,White,Medium (4-6 inches),Frontal,Plain Backdrop,Artificial Light,1280x720 px,Small Group (2-5),Saltwater,/mnt/data/augmented_images/9_rotated_270.jpg
Tiger Prawn,Adult,Blue,Large (7+ inches),Top-down,Plain Backdrop,Natural Light,1280x720 px,Small Group (2-5),Brackish Water,/mnt/data/augmented_images/6_flip_vertical.jpg
Pacific White Shrimp,Larvae,Blue,Medium (4-6 inches),Lateral,Plain Backdrop,Artificial Light,1280x720 px,Small Group (2-5),Freshwater,/mnt/data/augmented_images/1_rotated_180.jpg
Ghost Shrimp,Adult,Blue,Small (1-3 inches),Top-down,Aquarium,Artificial Light,640x480 px,Individual,Brackish Water,/mnt/data/augmented_images/5_brightness_70.jpg
Ghost Shrimp,Larvae,White,Large (7+ inches),Top-down,Plain Backdrop,Artificial Light,1920x1080 px,Individual,Freshwater,/mnt/data/augmented_images/8_contrast_130.jpg
Ghost Shrimp,Adult,White,Small (1-3 inches),Top-down,Aquarium,Artificial Light,1920x1080 px,Large Group (6+),Saltwater,/mnt/data/augmented_images/3_original.jpg
Ghost Shrimp,Larvae,Brown,Medium (4-6 inches),Top-down,Plain Backdrop,Artificial Light,640x480 px,Small Group (2-5),Freshwater,/mnt/data/augmented_images/6_contrast_70.jpg
Tiger Prawn,Adult,Pink,Small (1-3 inches),Top-down,Aquarium,Natural Light,640x480 px,Large Group (6+),Brackish Water,/mnt/data/augmented_images/6_original.jpg
Ghost Shrimp,Adult,White,Medium (4-6 inches),Frontal,Plain Backdrop,Artificial Light,1920x1080 px,Individual,Brackish Water,/mnt/data/augmented_images/0_flip_vertical.jpg
Pacific White Shrimp,Larvae,Blue,Medium (4-6 inches),Frontal,Plain Backdrop,Natural Light,640x480 px,Large Group (6+),Saltwater,/mnt/data/augmented_images/1_rotated_90.jpg
Tiger Prawn,Juvenile,Brown,Large (7+ inches),Top-down,Aquarium,Natural Light,1280x720 px,Large Group (6+),Freshwater,/mnt/data/augmented_images/7_rotated_270.jpg
Tiger Prawn,Adult,Pink,Small (1-3 inches),Top-down,Natural Habitat,Artificial Light,640x480 px,Large Group (6+),Freshwater,/mnt/data/augmented_images/3_contrast_70.jpg
Ghost Shrimp,Adult,Blue,Medium (4-6 inches),Frontal,Aquarium,Artificial Light,1280x720 px,Large Group (6+),Saltwater,/mnt/data/augmented_images/7_rotated_180.jpg
Ghost Shrimp,Adult,Pink,Small (1-3 inches),Top-down,Aquarium,Artificial Light,1280x720 px,Large Group (6+),Saltwater,/mnt/data/augmented_images/6_rotated_180.jpg
Tiger Prawn,Juvenile,Brown,Large (7+ inches),Lateral,Aquarium,Artificial Light,640x480 px,Individual,Saltwater,/mnt/data/augmented_images/0_rotated_90.jpg
Pacific White Shrimp,Juvenile,Blue,Small (1-3 inches),Frontal,Natural Habitat,Natural Light,1920x1080 px,Individual,Freshwater,/mnt/data/augmented_images/0_brightness_70.jpg
Ghost Shrimp,Adult,Pink,Small (1-3 inches),Frontal,Plain Backdrop,Natural Light,1920x1080 px,Small Group (2-5),Freshwater,/mnt/data/augmented_images/9_brightness_70.jpg
Ghost Shrimp,Juvenile,Brown,Small (1-3 inches),Lateral,Natural Habitat,Artificial Light,1280x720 px,Small Group (2-5),Saltwater,/mnt/data/augmented_images/9_rotated_270.jpg
Tiger Prawn,Adult,Pink,Small (1-3 inches),Frontal,Natural Habitat,Natural Light,1920x1080 px,Individual,Saltwater,/mnt/data/augmented_images/0_rotated_270.jpg
Pacific White Shrimp,Adult,White,Medium (4-6 inches),Frontal,Plain Backdrop,Natural Light,1280x720 px,Individual,Saltwater,/mnt/data/augmented_images/0_rotated_270.jpg
Tiger Prawn,Adult,White,Large (7+ inches),Top-down,Aquarium,Artificial Light,1280x720 px,Small Group (2-5),Saltwater,/mnt/data/augmented_images/8_rotated_180.jpg
Ghost Shrimp,Adult,Brown,Small (1-3 inches),Frontal,Natural Habitat,Artificial Light,1920x1080 px,Individual,Brackish Water,/mnt/data/augmented_images/5_rotated_180.jpg
Pacific White Shrimp,Larvae,Blue,Large (7+ inches),Lateral,Plain Backdrop,Natural Light,1920x1080 px,Individual,Freshwater,/mnt/data/augmented_images/0_rotated_90.jpg
Tiger Prawn,Adult,Pink,Medium (4-6 inches),Frontal,Aquarium,Artificial Light,640x480 px,Individual,Saltwater,/mnt/data/augmented_images/6_flip_horizontal.jpg
Tiger Prawn,Juvenile,Brown,Medium (4-6 inches),Lateral,Aquarium,Artificial Light,1920x1080 px,Small Group (2-5),Brackish Water,/mnt/data/augmented_images/1_flip_vertical.jpg
Pacific White Shrimp,Adult,Brown,Medium (4-6 inches),Top-down,Plain Backdrop,Natural Light,1920x1080 px,Large Group (6+),Freshwater,/mnt/data/augmented_images/3_rotated_270.jpg
Ghost Shrimp,Juvenile,Pink,Small (1-3 inches),Frontal,Plain Backdrop,Natural Light,640x480 px,Large Group (6+),Saltwater,/mnt/data/augmented_images/0_contrast_70.jpg
Tiger Prawn,Adult,Brown,Medium (4-6 inches),Lateral,Plain Backdrop,Natural Light,1280x720 px,Small Group (2-5),Saltwater,/mnt/data/augmented_images/4_flip_vertical.jpg
Tiger Prawn,Larvae,Blue,Medium (4-6 inches),Frontal,Plain Backdrop,Natural Light,640x480 px,Small Group (2-5),Brackish Water,/mnt/data/augmented_images/5_contrast_70.jpg
Pacific White Shrimp,Juvenile,Pink,Small (1-3 inches),Top-down,Natural Habitat,Artificial Light,1920x1080 px,Large Group (6+),Freshwater,/mnt/data/augmented_images/1_rotated_180.jpg
Tiger Prawn,Adult,White,Small (1-3 inches),Top-down,Plain Backdrop,Natural Light,1280x720 px,Large Group (6+),Freshwater,/mnt/data/augmented_images/2_flip_horizontal.jpg
Pacific White Shrimp,Larvae,White,Medium (4-6 inches),Frontal,Plain Backdrop,Artificial Light,640x480 px,Individual,Saltwater,/mnt/data/augmented_images/7_brightness_130.jpg
Tiger Prawn,Juvenile,White,Medium (4-6 inches),Frontal,Aquarium,Natural Light,1280x720 px,Large Group (6+),Freshwater,/mnt/data/augmented_images/3_rotated_90.jpg
Pacific White Shrimp,Juvenile,Brown,Large (7+ inches),Lateral,Natural Habitat,Natural Light,1920x1080 px,Large Group (6+),Freshwater,/mnt/data/augmented_images/0_flip_horizontal.jpg
Tiger Prawn,Juvenile,Brown,Large (7+ inches),Frontal,Natural Habitat,Artificial Light,1920x1080 px,Individual,Saltwater,/mnt/data/augmented_images/6_contrast_130.jpg
Tiger Prawn,Larvae,Brown,Large (7+ inches),Frontal,Natural Habitat,Artificial Light,1280x720 px,Small Group (2-5),Saltwater,/mnt/data/augmented_images/0_contrast_130.jpg
Ghost Shrimp,Juvenile,Blue,Large (7+ inches),Top-down,Natural Habitat,Artificial Light,1280x720 px,Individual,Brackish Water,/mnt/data/augmented_images/8_rotated_270.jpg
Pacific White Shrimp,Juvenile,Blue,Large (7+ inches),Frontal,Aquarium,Artificial Light,1280x720 px,Small Group (2-5),Brackish Water,/mnt/data/augmented_images/5_flip_horizontal.jpg
Tiger Prawn,Larvae,Blue,Medium (4-6 inches),Frontal,Plain Backdrop,Artificial Light,640x480 px,Large Group (6+),Saltwater,/mnt/data/augmented_images/5_flip_vertical.jpg
Tiger Prawn,Larvae,Pink,Large (7+ inches),Frontal,Aquarium,Natural Light,1920x1080 px,Large Group (6+),Brackish Water,/mnt/data/augmented_images/0_brightness_70.jpg
Ghost Shrimp,Larvae,Blue,Large (7+ inches),Lateral,Aquarium,Natural Light,1280x720 px,Large Group (6+),Saltwater,/mnt/data/augmented_images/1_rotated_180.jpg
Ghost Shrimp,Adult,Brown,Medium (4-6 inches),Top-down,Natural Habitat,Artificial Light,1920x1080 px,Large Group (6+),Freshwater,/mnt/data/augmented_images/4_flip_vertical.jpg
Ghost Shrimp,Larvae,Blue,Small (1-3 inches),Frontal,Aquarium,Natural Light,640x480 px,Large Group (6+),Brackish Water,/mnt/data/augmented_images/5_flip_horizontal.jpg
Pacific White Shrimp,Juvenile,White,Small (1-3 inches),Top-down,Aquarium,Natural Light,640x480 px,Large Group (6+),Saltwater,/mnt/data/augmented_images/8_brightness_130.jpg
Ghost Shrimp,Adult,White,Small (1-3 inches),Lateral,Aquarium,Artificial Light,1920x1080 px,Individual,Freshwater,/mnt/data/augmented_images/2_rotated_180.jpg
Tiger Prawn,Juvenile,Pink,Small (1-3 inches),Lateral,Plain Backdrop,Natural Light,1280x720 px,Large Group (6+),Saltwater,/mnt/data/augmented_images/4_original.jpg
Ghost Shrimp,Larvae,Brown,Medium (4-6 inches),Top-down,Aquarium,Natural Light,1920x1080 px,Small Group (2-5),Freshwater,/mnt/data/augmented_images/1_brightness_70.jpg
Tiger Prawn,Juvenile,Pink,Large (7+ inches),Top-down,Aquarium,Natural Light,640x480 px,Small Group (2-5),Brackish Water,/mnt/data/augmented_images/5_brightness_70.jpg
Ghost Shrimp,Juvenile,Brown,Small (1-3 inches),Lateral,Natural Habitat,Natural Light,640x480 px,Small Group (2-5),Saltwater,/mnt/data/augmented_images/2_brightness_130.jpg
Pacific White Shrimp,Juvenile,Blue,Large (7+ inches),Top-down,Natural Habitat,Artificial Light,640x480 px,Large Group (6+),Freshwater,/mnt/data/augmented_images/3_contrast_130.jpg
Ghost Shrimp,Adult,Blue,Small (1-3 inches),Frontal,Natural Habitat,Natural Light,1280x720 px,Individual,Freshwater,/mnt/data/augmented_images/1_contrast_70.jpg
Pacific White Shrimp,Adult,Brown,Small (1-3 inches),Lateral,Plain Backdrop,Artificial Light,1920x1080 px,Small Group (2-5),Brackish Water,/mnt/data/augmented_images/8_original.jpg
Tiger Prawn,Adult,White,Small (1-3 inches),Top-down,Natural Habitat,Natural Light,1920x1080 px,Small Group (2-5),Saltwater,/mnt/data/augmented_images/6_flip_vertical.jpg
Pacific White Shrimp,Juvenile,Brown,Medium (4-6 inches),Lateral,Plain Backdrop,Artificial Light,1280x720 px,Individual,Freshwater,/mnt/data/augmented_images/6_rotated_180.jpg
Tiger Prawn,Adult,White,Small (1-3 inches),Frontal,Plain Backdrop,Artificial Light,640x480 px,Individual,Brackish Water,/mnt/data/augmented_images/3_original.jpg
Tiger Prawn,Larvae,Brown,Medium (4-6 inches),Frontal,Plain Backdrop,Natural Light,640x480 px,Individual,Freshwater,/mnt/data/augmented_images/8_flip_vertical.jpg
Ghost Shrimp,Adult,White,Small (1-3 inches),Lateral,Natural Habitat,Artificial Light,1280x720 px,Large Group (6+),Brackish Water,/mnt/data/augmented_images/2_original.jpg
Tiger Prawn,Adult,Brown,Small (1-3 inches),Top-down,Plain Backdrop,Natural Light,640x480 px,Small Group (2-5),Freshwater,/mnt/data/augmented_images/6_flip_horizontal.jpg
Tiger Prawn,Larvae,White,Small (1-3 inches),Frontal,Aquarium,Natural Light,1920x1080 px,Small Group (2-5),Brackish Water,/mnt/data/augmented_images/3_rotated_90.jpg
Ghost Shrimp,Juvenile,Pink,Medium (4-6 inches),Lateral,Aquarium,Natural Light,1280x720 px,Small Group (2-5),Brackish Water,/mnt/data/augmented_images/1_flip_vertical.jpg
Tiger Prawn,Juvenile,Blue,Large (7+ inches),Lateral,Natural Habitat,Artificial Light,640x480 px,Individual,Freshwater,/mnt/data/augmented_images/0_rotated_270.jpg
Ghost Shrimp,Larvae,White,Large (7+ inches),Top-down,Plain Backdrop,Artificial Light,640x480 px,Small Group (2-5),Freshwater,/mnt/data/augmented_images/0_contrast_70.jpg
Tiger Prawn,Larvae,White,Large (7+ inches),Top-down,Natural Habitat,Natural Light,1280x720 px,Small Group (2-5),Freshwater,/mnt/data/augmented_images/9_flip_vertical.jpg
Pacific White Shrimp,Larvae,Brown,Medium (4-6 inches),Lateral,Plain Backdrop,Natural Light,1280x720 px,Small Group (2-5),Brackish Water,/mnt/data/augmented_images/1_contrast_70.jpg
Ghost Shrimp,Juvenile,White,Small (1-3 inches),Frontal,Aquarium,Natural Light,640x480 px,Individual,Brackish Water,/mnt/data/augmented_images/0_brightness_130.jpg
Tiger Prawn,Juvenile,White,Small (1-3 inches),Top-down,Plain Backdrop,Artificial Light,1280x720 px,Large Group (6+),Brackish Water,/mnt/data/augmented_images/0_rotated_180.jpg
Tiger Prawn,Juvenile,Pink,Large (7+ inches),Top-down,Aquarium,Artificial Light,640x480 px,Individual,Saltwater,/mnt/data/augmented_images/5_rotated_90.jpg
Tiger Prawn,Juvenile,Blue,Small (1-3 inches),Lateral,Plain Backdrop,Natural Light,1280x720 px,Large Group (6+),Brackish Water,/mnt/data/augmented_images/5_flip_horizontal.jpg
Ghost Shrimp,Adult,Pink,Medium (4-6 inches),Frontal,Natural Habitat,Artificial Light,1280x720 px,Large Group (6+),Freshwater,/mnt/data/augmented_images/3_original.jpg
Ghost Shrimp,Juvenile,Blue,Large (7+ inches),Frontal,Natural Habitat,Natural Light,640x480 px,Small Group (2-5),Brackish Water,/mnt/data/augmented_images/5_contrast_70.jpg
Tiger Prawn,Juvenile,White,Medium (4-6 inches),Top-down,Plain Backdrop,Artificial Light,1920x1080 px,Small Group (2-5),Freshwater,/mnt/data/augmented_images/2_brightness_130.jpg
Pacific White Shrimp,Juvenile,Brown,Medium (4-6 inches),Lateral,Aquarium,Artificial Light,1920x1080 px,Small Group (2-5),Brackish Water,/mnt/data/augmented_images/2_flip_horizontal.jpg
Ghost Shrimp,Adult,Blue,Medium (4-6 inches),Top-down,Plain Backdrop,Natural Light,1280x720 px,Large Group (6+),Saltwater,/mnt/data/augmented_images/3_brightness_70.jpg
Ghost Shrimp,Larvae,White,Large (7+ inches),Top-down,Plain Backdrop,Artificial Light,1280x720 px,Individual,Freshwater,/mnt/data/augmented_images/5_flip_horizontal.jpg
Tiger Prawn,Larvae,White,Small (1-3 inches),Lateral,Natural Habitat,Natural Light,1280x720 px,Individual,Saltwater,/mnt/data/augmented_images/7_contrast_70.jpg
Pacific White Shrimp,Larvae,Blue,Medium (4-6 inches),Top-down,Natural Habitat,Artificial Light,1280x720 px,Large Group (6+),Saltwater,/mnt/data/augmented_images/8_contrast_70.jpg
Tiger Prawn,Adult,Blue,Medium (4-6 inches),Top-down,Plain Backdrop,Natural Light,1280x720 px,Individual,Freshwater,/mnt/data/augmented_images/5_brightness_130.jpg
Tiger Prawn,Juvenile,Blue,Small (1-3 inches),Top-down,Natural Habitat,Natural Light,640x480 px,Individual,Brackish Water,/mnt/data/augmented_images/8_original.jpg
Pacific White Shrimp,Larvae,Blue,Large (7+ inches),Lateral,Natural Habitat,Natural Light,640x480 px,Large Group (6+),Brackish Water,/mnt/data/augmented_images/0_rotated_180.jpg
Pacific White Shrimp,Juvenile,Brown,Medium (4-6 inches),Frontal,Plain Backdrop,Artificial Light,640x480 px,Individual,Brackish Water,/mnt/data/augmented_images/0_rotated_90.jpg
Pacific White Shrimp,Adult,White,Small (1-3 inches),Top-down,Aquarium,Natural Light,640x480 px,Small Group (2-5),Brackish Water,/mnt/data/augmented_images/1_contrast_130.jpg
Ghost Shrimp,Juvenile,Blue,Medium (4-6 inches),Frontal,Plain Backdrop,Natural Light,640x480 px,Large Group (6+),Freshwater,/mnt/data/augmented_images/9_flip_horizontal.jpg
Ghost Shrimp,Larvae,Pink,Large (7+ inches),Lateral,Plain Backdrop,Artificial Light,640x480 px,Large Group (6+),Saltwater,/mnt/data/augmented_images/6_flip_horizontal.jpg
Tiger Prawn,Adult,Pink,Small (1-3 inches),Lateral,Natural Habitat,Artificial Light,1920x1080 px,Individual,Saltwater,/mnt/data/augmented_images/3_rotated_180.jpg
Pacific White Shrimp,Juvenile,Blue,Medium (4-6 inches),Top-down,Natural Habitat,Natural Light,1920x1080 px,Small Group (2-5),Freshwater,/mnt/data/augmented_images/0_original.jpg
Tiger Prawn,Juvenile,White,Large (7+ inches),Lateral,Natural Habitat,Artificial Light,1280x720 px,Small Group (2-5),Brackish Water,/mnt/data/augmented_images/6_brightness_70.jpg
Ghost Shrimp,Adult,White,Small (1-3 inches),Frontal,Aquarium,Natural Light,640x480 px,Individual,Saltwater,/mnt/data/augmented_images/0_flip_vertical.jpg
Ghost Shrimp,Larvae,Blue,Large (7+ inches),Frontal,Natural Habitat,Natural Light,1920x1080 px,Individual,Freshwater,/mnt/data/augmented_images/8_brightness_70.jpg
Ghost Shrimp,Adult,Blue,Small (1-3 inches),Frontal,Natural Habitat,Artificial Light,1920x1080 px,Large Group (6+),Brackish Water,/mnt/data/augmented_images/0_brightness_130.jpg
Tiger Prawn,Juvenile,Blue,Large (7+ inches),Top-down,Natural Habitat,Natural Light,1280x720 px,Small Group (2-5),Saltwater,/mnt/data/augmented_images/8_flip_horizontal.jpg
Pacific White Shrimp,Adult,Pink,Small (1-3 inches),Frontal,Aquarium,Natural Light,640x480 px,Individual,Brackish Water,/mnt/data/augmented_images/5_brightness_70.jpg
Tiger Prawn,Larvae,White,Medium (4-6 inches),Frontal,Plain Backdrop,Artificial Light,1280x720 px,Small Group (2-5),Saltwater,/mnt/data/augmented_images/3_flip_horizontal.jpg
Pacific White Shrimp,Larvae,Brown,Large (7+ inches),Frontal,Plain Backdrop,Natural Light,640x480 px,Individual,Freshwater,/mnt/data/augmented_images/9_original.jpg
Ghost Shrimp,Juvenile,Blue,Medium (4-6 inches),Top-down,Plain Backdrop,Natural Light,640x480 px,Individual,Freshwater,/mnt/data/augmented_images/4_rotated_180.jpg
Ghost Shrimp,Juvenile,Brown,Medium (4-6 inches),Lateral,Plain Backdrop,Artificial Light,1920x1080 px,Large Group (6+),Saltwater,/mnt/data/augmented_images/9_flip_vertical.jpg
Tiger Prawn,Adult,White,Small (1-3 inches),Top-down,Plain Backdrop,Natural Light,1280x720 px,Large Group (6+),Freshwater,/mnt/data/augmented_images/6_rotated_270.jpg
Ghost Shrimp,Adult,Brown,Large (7+ inches),Lateral,Natural Habitat,Natural Light,640x480 px,Small Group (2-5),Freshwater,/mnt/data/augmented_images/1_original.jpg
Pacific White Shrimp,Adult,Blue,Medium (4-6 inches),Lateral,Aquarium,Artificial Light,1280x720 px,Individual,Saltwater,/mnt/data/augmented_images/8_brightness_130.jpg
Pacific White Shrimp,Adult,Pink,Medium (4-6 inches),Top-down,Natural Habitat,Artificial Light,640x480 px,Individual,Freshwater,/mnt/data/augmented_images/1_rotated_180.jpg
Pacific White Shrimp,Adult,Blue,Medium (4-6 inches),Top-down,Aquarium,Artificial Light,640x480 px,Small Group (2-5),Brackish Water,/mnt/data/augmented_images/8_rotated_90.jpg
Tiger Prawn,Larvae,Blue,Small (1-3 inches),Frontal,Natural Habitat,Artificial Light,1280x720 px,Individual,Saltwater,/mnt/data/augmented_images/7_brightness_70.jpg
Ghost Shrimp,Adult,Brown,Small (1-3 inches),Frontal,Plain Backdrop,Natural Light,1280x720 px,Small Group (2-5),Saltwater,/mnt/data/augmented_images/2_contrast_70.jpg
Tiger Prawn,Adult,Brown,Small (1-3 inches),Frontal,Aquarium,Natural Light,1280x720 px,Individual,Brackish Water,/mnt/data/augmented_images/6_contrast_70.jpg
Ghost Shrimp,Larvae,Brown,Small (1-3 inches),Top-down,Natural Habitat,Natural Light,1280x720 px,Small Group (2-5),Freshwater,/mnt/data/augmented_images/1_brightness_70.jpg
Ghost Shrimp,Juvenile,Pink,Medium (4-6 inches),Top-down,Plain Backdrop,Natural Light,1920x1080 px,Individual,Saltwater,/mnt/data/augmented_images/6_original.jpg
Ghost Shrimp,Juvenile,Blue,Medium (4-6 inches),Lateral,Plain Backdrop,Natural Light,1280x720 px,Small Group (2-5),Brackish Water,/mnt/data/augmented_images/6_original.jpg
Tiger Prawn,Larvae,Blue,Medium (4-6 inches),Frontal,Natural Habitat,Artificial Light,640x480 px,Large Group (6+),Brackish Water,/mnt/data/augmented_images/6_rotated_90.jpg
Pacific White Shrimp,Adult,Blue,Small (1-3 inches),Frontal,Natural Habitat,Artificial Light,1280x720 px,Large Group (6+),Saltwater,/mnt/data/augmented_images/5_brightness_130.jpg
Ghost Shrimp,Adult,White,Small (1-3 inches),Frontal,Aquarium,Artificial Light,1280x720 px,Individual,Brackish Water,/mnt/data/augmented_images/7_original.jpg
Pacific White Shrimp,Larvae,Blue,Small (1-3 inches),Frontal,Aquarium,Natural Light,1920x1080 px,Individual,Freshwater,/mnt/data/augmented_images/6_contrast_130.jpg
Ghost Shrimp,Adult,Brown,Small (1-3 inches),Top-down,Plain Backdrop,Artificial Light,1280x720 px,Individual,Saltwater,/mnt/data/augmented_images/9_original.jpg
Tiger Prawn,Juvenile,Blue,Medium (4-6 inches),Frontal,Natural Habitat,Artificial Light,640x480 px,Small Group (2-5),Freshwater,/mnt/data/augmented_images/5_contrast_130.jpg
Ghost Shrimp,Juvenile,Pink,Small (1-3 inches),Top-down,Aquarium,Natural Light,640x480 px,Large Group (6+),Freshwater,/mnt/data/augmented_images/1_flip_vertical.jpg
Pacific White Shrimp,Adult,White,Small (1-3 inches),Top-down,Aquarium,Artificial Light,640x480 px,Large Group (6+),Freshwater,/mnt/data/augmented_images/2_flip_vertical.jpg
Ghost Shrimp,Larvae,White,Small (1-3 inches),Top-down,Natural Habitat,Natural Light,640x480 px,Large Group (6+),Saltwater,/mnt/data/augmented_images/5_rotated_180.jpg
Pacific White Shrimp,Adult,Pink,Medium (4-6 inches),Frontal,Aquarium,Natural Light,1280x720 px,Individual,Saltwater,/mnt/data/augmented_images/1_rotated_90.jpg
Pacific White Shrimp,Juvenile,White,Medium (4-6 inches),Top-down,Plain Backdrop,Natural Light,640x480 px,Large Group (6+),Saltwater,/mnt/data/augmented_images/2_rotated_270.jpg
Pacific White Shrimp,Larvae,Brown,Large (7+ inches),Frontal,Plain Backdrop,Natural Light,1280x720 px,Large Group (6+),Saltwater,/mnt/data/augmented_images/3_original.jpg
Pacific White Shrimp,Larvae,Pink,Large (7+ inches),Lateral,Aquarium,Artificial Light,1280x720 px,Small Group (2-5),Saltwater,/mnt/data/augmented_images/5_flip_vertical.jpg
Tiger Prawn,Larvae,Blue,Medium (4-6 inches),Frontal,Aquarium,Natural Light,1280x720 px,Individual,Freshwater,/mnt/data/augmented_images/9_contrast_130.jpg
Ghost Shrimp,Adult,White,Medium (4-6 inches),Frontal,Natural Habitat,Artificial Light,640x480 px,Large Group (6+),Brackish Water,/mnt/data/augmented_images/1_brightness_130.jpg
Tiger Prawn,Juvenile,White,Small (1-3 inches),Top-down,Natural Habitat,Natural Light,1280x720 px,Individual,Brackish Water,/mnt/data/augmented_images/6_contrast_70.jpg
Ghost Shrimp,Juvenile,White,Small (1-3 inches),Top-down,Natural Habitat,Artificial Light,1280x720 px,Individual,Saltwater,/mnt/data/augmented_images/6_rotated_180.jpg
